Speaker B,Bot output
What is a hot dog?,it s a shitty .
I guess no one told them they were out of a job,they re doctors ?
How do you know that?,we ll get it .
No. I do not think so...,yes .
Maybe not enough has gone wrong here.,i don t know .
After a few years they discovered a problem.,what ?
You do not need this only the idea.,i don t know .
We are going to find out soon enough.,i don t know .
Bought thirty of them off a guy in Florida.,i don t know .
I did not know it belonged to anyone.,yes .
